,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,Component_Sol_00,Component_Sol_01,Component_Sol_10,Component_Sol_11,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,Signal,Noise,K_index
542,169.21635717228227,22.39477452255896,26.532696975729312,2.5907629498903457,"[array([ 7.98171047, 20.        ]), array([16.63460556, 21.47376856])]",7.9817104742959595,20.0,16.634605556924782,21.473768555841424,4.595837250226627,1.2957918223633738,1.6167304871134536,0.005234078767594127,4.994816964822091,1.0056610094032967,0.20134091328792408,[542]
543,180.20373413346667,24.73267314889989,39.33441955649379,3.9643323576799587,"[array([42.63264264, 20.        ]), array([18.33122176, 20.        ])]",42.6326426380794,20.0,18.331221763279032,20.0,3.1342726063130493,2.9382053273047277,0.9889836527114874,0.005120133460902615,5.376331737378663,1.0027911602803647,0.18651958421920134,[543]
544,204.96480975663613,23.79027819286185,40.20527996170259,3.457231630182719,"[array([35.02494064, 20.        ]), array([14.58179282, 26.21895429])]",35.02494064200534,20.0,14.581792823167637,26.21895429249231,2.8018358296144084,1.3860254534050507,0.5883511601615439,0.005008831095388472,5.984658489763897,1.0016246622405742,0.16736538333035103,[544]
545,190.39595159316443,25.03396494047951,31.724745494040654,3.076830108399292,"[array([ 3.89715753, 20.        ]), array([16.86602662, 20.        ])]",3.8971575289038514,20.0,16.86602662336407,20.0,3.837631315752768,3.0644198017580866,0.9460003748158623,0.004900351762863838,6.948171634372737,1.0236507710400655,0.14732663856143763,[545]
546,136.84314786503074,16.54954178191998,25.12357860995067,2.2624047118128825,"[array([16.1563598, 20.       ]), array([13.24476849, 24.45011772])]",16.156359797511186,20.0,13.244768485619216,24.450117721040954,4.189956327533935,4.316777973936275,0.49017576210474106,0.0047948870716909495,6.262511453103013,0.998059807605906,0.1593705360988006,[546]
547,125.701099614631,15.512189746797937,17.489434378387315,1.6086616182401015,"[array([27.13583308, 20.        ]), array([10.24726746, 24.20056282])]",27.135833083518133,20.0,10.247267464898433,24.200562823040663,4.9048474864083165,2.2257830909658436,1.9244087904696783,0.004692640283823587,4.69408514024368,0.9689862477765905,0.2064270712666043,[547]
548,110.53936578274815,14.437622621166804,14.816626896581266,1.4547891106386195,"[array([54.22685532, 20.        ]), array([11.5648409, 20.       ])]",54.22685532197903,20.0,11.564840903940398,20.0,5.588025411398158,3.1833863939125226,2.0347744031621904,0.004593826271141247,4.671814384607011,0.9861917753698151,0.21109395497800212,[548]
549,90.99208483905551,12.59907883541712,18.193657138209655,1.8870967531445293,"[array([26.27557921, 26.3294249 ]), array([12.57180849, 20.        ])]",26.275579207962807,26.329424904609983,12.571808493254567,20.0,3.154735947370551,2.9984048883084142,3.54285023293685,0.004498671243632404,4.352448851121168,0.9998551539252845,0.22972243629416275,[549]
550,68.04375461498583,8.956815915330086,15.379560855998024,1.5217041746363222,"[array([-8.88299078, 82.15749376]), array([10.99357614, 20.        ])]",-8.882990777978836,82.15749375955644,10.993576136179303,20.0,2.9280897926305594,2.541127948356511,3.6284765738652527,0.004407412197626461,3.9416228387505465,1.0112443588935145,0.2565553327304315,[550]
551,76.14275706631014,9.694092224046543,13.457802371079197,1.2739869383040596,"[array([-3.92327063, 20.        ]), array([20.75366426, 24.61251421])]",-3.923270627828208,20.0,20.753664257388387,24.612514210446125,3.6615312096852226,1.7124535683950204,1.36130700888701,0.004320296028544104,4.296405083527137,1.0049641547045536,0.2339081476645883,[551]
552,59.6650098283032,7.9597053272082325,11.308793853836095,1.1227723087124768,"[array([-8.69942139, 20.        ]), array([14.41243853, 20.        ])]",-8.699421391814441,20.0,14.41243853397828,20.0,0.8587475544393888,2.8619059465371612,1.187019770331582,0.0042375782519621895,4.389159416622627,1.0202501074735448,0.2324477219053956,[552]
553,67.47627588400167,9.101863849248787,7.513015880679654,0.7596315596969088,"[array([ 8.07334562, 20.        ]), array([10.56603819, 20.        ])]",8.07334562278362,20.0,10.566038189768188,20.0,3.0626098056007174,1.6720705089574752,1.3952363257873805,0.004159521280318591,3.932511865469277,1.0072904097541135,0.2561442772999519,[553]
554,81.5088700154819,9.289549973237946,4.4073015220165335,0.37079128131585004,"[array([12.85149644, 20.        ]), array([15.12393284, 30.63688274])]",12.851496440192035,20.0,15.123932837732408,30.636882735603837,2.996104986688616,1.4061191906842279,1.355599902048637,0.004086392210039247,4.417589739352132,1.0041707626839904,0.2273119103249408,[554]
555,53.653806464307166,7.4578575120526605,15.262428669752572,1.5757795912800254,"[array([ 9.73576464, 20.        ]), array([ 9.17818055, 20.        ])]",9.735764638223271,20.0,9.17818055470533,20.0,0.9161926483788274,6.812983941032108,1.374277964051502,0.004018460088133564,4.136230398873343,1.0111418235325476,0.2444597437821573,[555]
556,28.502893065114456,4.103528094235168,14.90359044679459,1.6124486559214355,"[array([46.39484943, 20.        ]), array([10.96022727, 20.        ])]",46.39484943241714,20.0,10.960227272485435,20.0,2.8680894652945756,4.881583367856878,2.56209000067933,0.003955992648926027,4.512139376212747,1.0036659327500348,0.22243681966944456,[556]
557,29.972466219135153,2.1086069639055878,8.488224091220072,0.43860296832707363,"[array([12.7739019, 20.       ]), array([-30.37181575,  59.260748  ])]",12.77390190427609,20.0,-30.371815753986233,59.2607480043571,2.5317589249623227,3.965520504887773,2.554877071989716,0.0038992525398464737,4.242250195621675,1.0121301428013962,0.23858332161690785,[557]
558,48.510553829278905,3.242542518960985,6.310870683595044,0.31003486545068054,"[array([15.23491403, 20.        ]), array([ 1.13725781, 61.20881124])]",15.234914031339281,20.0,1.1372578051637017,61.20881123973849,2.9314684952058707,3.4480912282071303,2.4979095785551735,0.003848493091267125,4.415091904682896,1.0034568688867385,0.2272788178706802,[558]
559,29.81128818889981,3.7241792195719743,1.4642474869350282,0.13505362609726954,"[array([25.71694847, 22.72088115]), array([16.02958866, 24.53674984])]",25.716948472554787,22.720881153728264,16.029588655604524,24.53674984246478,4.730217370548588,0.460926334972637,0.9822155171840758,0.0038039537261077825,4.666995722771776,1.0135901936810436,0.2171825846626365,[559]
