,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,K_index
0,1.2522592863132807e-17,0.677650779665584,0.0,-0.0,"[array([ 0., 40.]), array([19.50855102, 35.86983284])]",1.971488574307795e-19,6.998219700372732e-20,-8.274575915997914e-19,0.010674460731050703,1.4984792678016845,[0]
1,0.0,-0.0,9.229436185391724e-18,0.4332200079809823,"[array([111.83166787,  20.        ]), array([-19.74458255,  20.        ])]",8.625205960439729e-19,2.0394651762439056e-20,-1.3967053878105466e-18,0.010569558862832432,1.1324734046266631,[1]
2,2.8046547686986424e-17,1.3324473226953917,1.3152356547663566e-17,0.4619790388596303,"[array([-74.39897006,  20.        ]), array([37.08817276, 28.1356066 ])]",4.465562823110822e-19,-7.283952385108701e-20,-9.566644509085656e-19,0.010466110709496289,0.5703467096011002,[2]
3,5.1047523482103756e-17,2.508125824936749,0.0,-0.0,"[array([-33.79313983,  20.        ]), array([-152.62987917,   20.        ])]",-3.569493764070038e-19,-1.9314784124293336e-19,2.8054565713095716e-19,0.01036415980121719,0.25163206005635363,[3]
4,2.0020177273896523e-17,0.9554717901552899,1.9958767733477765e-17,0.711979302115358,"[array([-2.11280955, 22.92526501]), array([-46.64402063,  20.        ])]",7.213408948125463e-19,1.118941957035017e-18,4.176205457732771e-19,0.010263750754947908,0.4901496992198803,[4]
5,4.9220191216441263e-17,1.8759832930262559,7.440451801163275e-18,0.20871586470019893,"[array([46.47381463, 20.        ]), array([ 0.60530993, 35.31258115])]",8.793195037220356e-19,1.0567268952088462e-18,1.0649627232972097e-18,0.010164929262254542,0.49995247099599305,[5]
6,2.1736495201237368e-17,1.3726772624557104,2.3658982739313196e-18,0.11120458193351214,"[array([-26.80591727,  20.        ]), array([85.6041934, 20.       ])]",-1.8689771659080627e-20,-4.461706812642254e-19,-5.718672389080907e-19,0.010067742071924112,0.41274675737425603,[6]
7,2.2509309357146508e-17,1.6063681250096584,0.0,-0.0,"[array([214.95384331,  84.43909209]), array([353.98991231,  20.        ])]",8.4213457222644e-19,3.2834964446765127e-19,-4.690053846631783e-19,0.009972236966684537,0.7211769435634688,[7]
8,0.0,-0.0,3.588953900916693e-17,0.6276591265608579,"[array([-81.08912437,  20.        ]), array([-68.72899992, 100.        ])]",4.377966515032361e-19,1.1185663649850769e-18,-2.7327878192140636e-19,0.009878462733918797,0.7903992763175154,[8]
9,3.747599368768256e-17,1.8915532290118755,2.7644010606889417e-19,0.010292410678284618,"[array([-7.89914561, 20.        ]), array([106.44736643,  39.36720132])]",5.192589768012165e-19,4.632074748388369e-19,-1.77425294412545e-19,0.009786469129547667,0.7258632064085379,[9]
10,2.8390520278966296e-17,1.008048052885065,0.0,-0.0,"[array([ 0., 40.]), array([-8.72717851, 66.18583946])]",5.976421884708635e-19,2.5241782290621657e-19,-4.6455033031423425e-19,0.009696306834817425,0.8737479975789554,[10]
11,3.839641557182147e-17,1.5237846408824376,1.9651764480652624e-17,0.5732946984888468,"[array([-156.29042476,  300.        ]), array([ 7.44537637, 55.61940498])]",1.739762390997261e-18,7.818135841998341e-19,-1.1302560143887437e-19,0.009608027405197766,0.9538478371466008,[11]
12,1.4131434834698837e-17,0.6617570447450682,3.348151619245263e-17,1.1543902427052088,"[array([-75.4508324,  20.       ]), array([73.38237001, 46.64484796])]",6.366635236533825e-19,1.0632005475480362e-18,-1.177031945276996e-19,0.009521683211261402,1.0369271148595642,[12]
13,1.3362928500622387e-17,0.8120258769286293,0.0,-0.0,"[array([73.21484639, 97.55827309]), array([-111.34203873,   28.94722816])]",1.1809969636134969e-18,4.3101984523525536e-19,-4.752315823741146e-19,0.009437327370888364,0.8813026309831042,[13]
14,2.7463689760851977e-17,0.6617758208580028,0.0,-0.0,"[array([103.17036745,  55.85026987]), array([-96.82963255,  98.87146173])]",1.366020865789511e-18,3.4924213695030347e-19,-3.9118495390504144e-19,0.00935501367224238,0.8906723788279757,[14]
15,3.2868583425332684e-17,1.2971844221724258,0.0,-0.0,"[array([-17.85993849,  20.        ]), array([-210.00402389,   54.65612975])]",1.0380335880467763e-18,2.0828197605016716e-19,8.580095966617523e-20,0.009274796487408591,1.0209467943384831,[15]
