,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,Signal,Noise,K_index
978,1.3580886091605515e-16,17.92195468346251,2.4140519634634663e-17,2.3745598242995345,"[array([34.31538576, 20.        ]), array([26.67722605, 20.        ])]",1.0190633443755606,0.7143887342791655,0.32184897467422835,0.0035622399999967786,6.020960742330217,0.985368687935419,0.1636563880923203,[978]
979,1.4682167184506217e-16,18.891388179980222,2.3406888183973997e-17,2.2516075107019926,"[array([31.79221024, 20.        ]), array([27.06381001, 20.        ])]",1.2322749851068804,1.2032973871004402,0.2785867777435501,0.003400319999977504,6.362024500566733,0.9909162385396257,0.15575486049312673,[979]
980,1.53071987554482e-16,18.863644428837766,2.4133229235556837e-17,2.2218876575696407,"[array([52.84623194, 20.        ]), array([26.97470981, 20.        ])]",0.9947843191823508,1.6877408075584155,0.3940055882325173,0.0032383999999867066,7.430655436804183,0.9985503122356485,0.1343825347209358,[980]
981,1.5639496922374234e-16,19.335634083930582,2.872086192230626e-17,2.6186792969707713,"[array([46.39857725, 20.        ]), array([24.10108887, 20.        ])]",1.4133420636728773,2.3228101709041233,0.7722964401243204,0.003076479999995909,7.17678875230895,0.9996100235286399,0.13928374625866488,[981]
982,1.6455794790062913e-16,19.780042673071083,3.2830422091575494e-17,2.937938232599766,"[array([52.28403423, 20.        ]), array([19.5725707 , 22.14691474])]",1.4837284999501645,1.404674992151307,0.939960797514305,0.0029145599999766346,7.2446049848793095,0.9883578128898465,0.13642673616473402,[982]
983,2.0217083638833698e-16,25.341793690211237,3.4236227271405265e-17,3.211570194661695,"[array([46.50004892, 20.        ]), array([18.06813684, 20.        ])]",1.5113656795879025,2.0770786824402085,0.5134811326994454,0.002752639999985837,7.805174993307708,0.9908580582522072,0.1269488588150536,[983]
984,2.4972777035063573e-16,31.299470141034785,3.71084036825585e-17,3.4615631862994336,"[array([35.71651999, 20.        ]), array([15.61147938, 20.        ])]",1.2920942186481783,1.3383981676929522,0.6287720844294941,0.0025907199999950395,7.866788683375985,0.9988965608194302,0.12697640689526693,[984]
985,2.6959320761039494e-16,31.567275897725033,4.2403692309424644e-17,3.7212957069839767,"[array([48.41536207, 20.        ]), array([17.42199844, 20.        ])]",1.1960099862272666,1.0025171933416248,0.6875266518806704,0.002428799999975871,7.706262231361624,0.9928796447537681,0.1288406253180844,[985]
986,2.361656311761506e-16,27.18963524387432,3.660271120319919e-17,3.154979530265761,"[array([21.55477752, 20.        ]), array([17.88582839, 20.        ])]",1.1042711408781045,0.9915619683498809,0.5917860057255392,0.0022668799999849675,7.7636013156960155,0.9858718164256343,0.12698640441935802,[986]
987,1.99556109535483e-16,23.917132161157717,2.961023316566353e-17,2.65137539027395,"[array([31.73183271, 20.        ]), array([18.78437072, 20.        ])]",0.9918547634871647,1.76922819350612,0.6245230151148846,0.00210495999999417,8.615583452824456,0.994212224590081,0.11539696992478754,[987]
988,1.5326548168527994e-16,17.85692952859825,1.6649424737853185e-17,1.45291865324234,"[array([33.571015, 20.      ]), array([17.7039253, 20.       ])]",1.123655445845391,1.695628588157625,0.544001008796566,0.0019430399999750012,8.68304174967843,0.9950306356349096,0.11459470820484766,[988]
989,9.704495200484717e-17,11.48123599979736,1.5569730957346522e-17,1.3772158104506032,"[array([36.98435788, 20.        ]), array([18.47030201, 20.        ])]",1.0180293096338207,0.8728948851341706,0.5780715131908518,0.0017811199999842038,8.18944754926028,0.9883609733518681,0.12068713639189776,[989]
990,8.66926855411789e-17,10.285271815873715,2.0672968124628043e-17,1.8356663206922021,"[array([40.11969742, 20.65216473]), array([16.33553414, 20.        ])]",1.1850484802748507,1.0183631798148771,1.2340564185340748,0.0016191999999933004,8.267779730580093,0.9829912794872261,0.11889422692907861,[990]
991,8.883453439191097e-17,10.640131568197491,1.702692765238872e-17,1.5109858607457864,"[array([28.87051883, 20.        ]), array([11.37762951, 20.        ])]",1.242228445329645,1.541058236105276,1.0059853770654252,0.0014572800000025028,8.70843521437212,0.9827125205298418,0.1128460505634818,[991]
992,8.33941972579811e-17,9.77327699482582,1.757612032329257e-17,1.5190818747530406,"[array([37.60289649, 20.        ]), array([13.22462117, 20.        ])]",1.0841608156559293,1.3819093147164536,0.7452881517706343,0.001295359999983334,8.436564487477927,0.9886303417923513,0.11718399631268604,[992]
993,7.611374794194249e-17,8.662799801288356,4.881019445983846e-18,0.41022803978661043,"[array([32.24094556, 22.8399115 ]), array([12.70808336, 20.        ])]",1.2818104754216653,2.7808759070258606,0.9479261710394788,0.0011334399999925367,8.279706723424885,0.9852164714577334,0.11899171122454931,[993]
994,7.244647196974658e-17,8.294574724296288,1.3079023971542433e-17,1.1118809384296071,"[array([34.62545405, 20.        ]), array([10.48866994, 20.        ])]",1.1316790684232814,1.672441424306169,0.6760900486718859,0.0009715200000016332,9.018483468393347,0.9939861134462953,0.11021654770781267,[994]
995,6.708559854165703e-17,7.732602025411091,1.0920128625388284e-17,0.9312150703826411,"[array([38.57957617, 20.        ]), array([ 3.96512396, 20.        ])]",1.0361803418817601,1.5271110353203037,0.9105665461777271,0.0008095999999824646,10.14098191934573,0.982715142982851,0.09690532443491953,[995]
996,6.30865995089033e-17,7.031226861851744,2.5425847621625983e-17,2.0854399463744944,"[array([34.99706897, 20.        ]), array([14.15660082, 20.        ])]",1.3628464096393165,2.130420475865179,0.8666733393531123,0.000647679999991667,10.07899123218385,0.9836161901523408,0.09759073775275201,[996]
997,6.41154786648913e-17,6.791657200093989,1.975514689790818e-17,1.5532744937264416,"[array([30.17348818, 20.        ]), array([10.63112167, 20.        ])]",1.1908224362784323,1.9725594161090862,1.0670810587514885,0.0004857600000008696,9.844035663412285,0.979661137875881,0.09951824346970076,[997]
998,1.0950679484814605e-16,11.537855331644568,3.177492735360163e-17,2.4977925024505336,"[array([28.76453815, 20.        ]), array([ 5.05441517, 20.        ])]",1.1042603841145748,2.2130194919298605,0.6957308610550517,0.000323839999981595,10.425622303228973,0.9870189644456999,0.09467242680947738,[998]
