,H_beta_EL_value,H_beta_EL_ANR,O_3_5007_EL_value,O_3_5007_EL_ANR,Component_Sol,Component_Sol_00,Component_Sol_01,Component_Sol_10,Component_Sol_11,H_beta_SI,Mg_b_SI,Fe_5015_SI,R,SNR,Signal,Noise,K_index
964,29.77757577942993,4.246953519534574,10.198494127223846,1.0833205995107678,"[array([80.31132629, 20.        ]), array([42.89320883, 20.        ])]",80.31132629073164,20.0,42.89320882625792,20.0,7850.798483219494,9767.326987252936,21438.704430211856,0.005829119999981746,3.6135521465855773,0.9797825049315179,0.27114110027644356,[964]
965,77.54067379362321,6.154783925069213,9.610318710524714,0.5616257715351451,"[array([50.21822966, 20.        ]), array([40.93268137, 53.80408984])]",50.21822965591396,20.0,40.9326813694459,53.80408984282563,3.9111822705408263,1.6713083145205736,1.6011669620283315,0.005667199999990949,4.141361370276091,0.9834770987723579,0.23747676448404031,[965]
966,31.44752292100922,4.529251210823923,9.250858148848243,0.991500425312829,"[array([61.27013273, 20.        ]), array([43.09239091, 20.        ])]",61.270132731612016,20.0,43.09239090905406,20.0,7085.246721464358,9192.868340266581,19345.436251107785,0.00550527999997178,3.9534162698203006,1.0245462454654164,0.25915465904428686,[966]
967,55.50372776732219,4.055139609238391,15.53365854208439,0.8311639446765086,"[array([64.38990464, 20.        ]), array([55.69226619, 57.9348715 ])]",64.38990464489984,20.0,55.692266193274115,57.93487150105716,0.836947188420103,1.4525272842679433,2.002329934459434,0.0053433599999808765,3.872402787306245,0.9907480611771112,0.25584840100435524,[967]
968,51.05143140379722,3.427091460994543,15.93467542102187,0.7852946439043511,"[array([69.53735578, 20.        ]), array([41.47612622, 65.59504904])]",69.5373557816688,20.0,41.47612621791708,65.59504903571691,7257.431654093665,9075.430920787829,19804.843148158256,0.005181439999990079,4.319498061644603,1.0052211429719253,0.23271711866197672,[968]
969,38.14229428883735,5.465403539708279,6.123623417747602,0.657985543425073,"[array([76.06477932, 20.        ]), array([41.25183403, 20.        ])]",76.06477931636299,20.0,41.25183402917155,20.0,2.039559556866079,2.1199365320751538,-1.1011058173632402,0.00501951999997091,4.070299618823962,0.9818724164174021,0.24122853557918078,[969]
970,62.52463043115998,8.710131328398175,16.71385174663283,1.7144472402598596,"[array([56.04183372, 20.        ]), array([25.45345161, 20.        ])]",56.04183372190019,20.0,25.453451608422316,20.0,6761.114547144709,9329.598913791257,19920.97862647381,0.004857599999980113,3.9615813754595877,1.0028899465390526,0.25315394320852647,[970]
971,139.2364078555934,18.574141994693395,19.41700716610802,1.9364406250964237,"[array([-0.44107128, 20.        ]), array([28.62427688, 23.89220132])]",-0.441071278314129,20.0,28.624276883926544,23.8922013226777,-1.4263869357679986,1.692083404828841,1.4655109272376239,0.004695679999989209,4.354146677852541,0.984601914245374,0.2261297074013543,[971]
972,197.91230665364012,27.04252709058653,22.486961176297758,2.2793101554247195,"[array([ 37.07389773, 147.18481539]), array([32.96172563, 20.        ])]",37.073897733390865,147.184815393798,32.96172563234126,20.0,5840.064592077632,7782.333729557042,16054.503552112681,0.004533759999970041,4.418684830147226,0.9978173914700931,0.2258177330644437,[972]
973,252.6371008469249,35.36372692949952,27.70128009709668,2.8464097628218226,"[array([57.95428948, 20.        ]), array([35.43064255, 20.        ])]",57.95428947660882,20.0,35.43064254627092,20.0,-6.566785867172581,2.1427782226970673,1.437170827785738,0.004371839999979243,5.4133830224953305,0.9988733568934848,0.18451924660469493,[973]
974,280.30576936850275,36.77129999282922,31.991114305746137,3.1331317177580287,"[array([39.02438408, 20.        ]), array([31.01318497, 22.00566742])]",39.02438407506748,20.0,31.013184972084126,22.005667422624082,4618.039025991939,6007.693558344989,13019.101184388062,0.004209919999988446,5.890980111035085,0.9882047354142454,0.16774878149106687,[974]
975,248.9625167676132,33.19657879006738,32.015386556290466,3.1602212376157324,"[array([45.19833621, 20.        ]), array([26.34386092, 20.        ])]",45.198336212902035,20.0,26.34386091740324,20.0,-4.852895078757056,1.4045788404735884,1.09104579120422,0.004047999999969171,5.7993175769081144,0.9786135584026978,0.16874633013707832,[975]
976,211.44627625109115,28.844467152306034,24.097594799650473,2.412442683021571,"[array([31.411191, 20.      ]), array([24.60937194, 20.        ])]",31.41119100231424,20.0,24.609371944884256,20.0,4512.980524364353,5923.562904461727,12597.919550375349,0.0038860799999783737,6.403119007102165,0.980498581004389,0.15312827700326148,[976]
977,172.49364979231643,23.33783842855436,17.62833905407903,1.7635466722629671,"[array([48.44554176, 20.        ]), array([26.27373385, 21.54689499])]",48.44554175521056,20.0,26.273733846835867,21.5468949931293,-0.8147070200724296,0.4631712069944396,0.1572120081591274,0.003724159999987576,6.7204694396912075,0.9770464728378605,0.14538366428205257,[977]
978,161.29576010944058,20.87409166195508,32.186051999192095,3.0775527595584458,"[array([31.70281346, 20.        ]), array([26.3542486 , 24.11728436])]",31.70281346421486,20.0,26.354248604956656,24.11728435610974,4136.967517143043,5467.329045722659,11554.28806808983,0.0035622399999967786,6.179806330242017,0.9763737641038183,0.15799423346420324,[978]
979,173.53081670436214,21.840702791702874,31.417600179480374,2.9298540649854288,"[array([30.50161683, 20.        ]), array([26.9234213 , 24.25968312])]",30.50161683425953,20.0,26.923421302280353,24.259683122708655,-0.9993639841920514,1.0481713629390141,2.409927141701429,0.003400319999977504,6.599384682638881,0.9880418003515089,0.14971726120933185,[979]
980,181.7239513121008,22.74320911128834,32.29228418075268,3.0061461069943536,"[array([51.95764486, 20.        ]), array([27.36690263, 21.85541229])]",51.95764486329725,20.0,27.366902626445565,21.85541229309724,3855.5559283773755,4970.648644828541,10701.922721892153,0.0032383999999867066,7.4363446420583434,1.002358935182456,0.134791888142641,[980]
981,192.7296455140462,22.540178699791245,39.18406393184333,3.3684166432857783,"[array([44.21784126, 20.        ]), array([23.83256088, 26.06530251])]",44.21784125771696,20.0,23.832560878690664,26.0653025120828,-0.4231289196394108,1.272568507230607,3.3944977014695925,0.003076479999995909,7.408416869105044,1.0089780417240835,0.1361934755496515,[981]
982,207.44502546576723,22.56760922651787,44.362657279085546,3.590144706818267,"[array([49.47602979, 20.        ]), array([19.4120629 , 29.59427253])]",49.47602979388994,20.0,19.41206289752915,29.594272529613992,3499.1349240038967,4891.439457946018,10236.137820409127,0.0029145599999766346,7.304557178209915,0.9910844248031851,0.13568028843140145,[982]
