i,j,k_index,velocity,sigma,SNR,R,Hbeta_flux,Hbeta_SNR,[OIII]5007_flux,[OIII]5007_SNR,Hbeta_index,Fe5015_index,Mgb_index
0,0,0,113.92567748396303,54.27799810970485,1.2750163131049994,0.011007490173226015,44.5082844142598,1.580383413941223,5.450007496389435,0.14211949863271742,12.087084271996392,-3.1338284827084046,-4.107671189342796
0,1,1,0.0,-15.660666226797492,0.9459792751965709,0.010904590064894797,0.0,0.0,10.069516109618792,0.5015652328326988,4.030384719934023,3.565780064067745,-0.6826355601540175
0,2,2,-102.58585656435434,36.612018925908856,0.5208474454082485,0.010803136823420779,36.52576266900966,1.7148071190201186,13.049256505634139,0.45000102725110747,18.735255292616078,-28.216750508921358,-20.259256002833233
0,3,3,-41.72222511315636,-152.1377718773294,0.2357104168258271,0.010703171592611338,51.84291353789255,2.6892272418888488,0.7215084545695623,0.028011190438171445,-11.542547921323035,-22.492334135480377,18.17348760279
0,4,4,32.43406573626277,-45.695532831593674,0.3000915451991992,0.010604736452595543,32.96195590862387,1.692297465351332,24.253250393233397,0.9277588421002428,3.058807256870314,-74.39262354989967,1.6899159115186517
0,5,5,99.00485276067513,12.077375308576674,0.36962098673866156,0.01050787440396709,80.25256798448189,2.4985783676180686,8.777362570186437,0.20111459310773694,13.604327103095859,-0.8841902622993363,22.447526522169888
0,6,6,-16.45179342375506,183.54820657624495,0.5801820801296262,0.010412629347254182,30.640060034790025,0.789471934993735,9.75881080470397,0.18424232260097295,6.392047428530697,8.259588896011621,-1.6823630699662986
0,7,7,18.992471941590765,-45.8676315566985,0.6783214024127793,0.01031904605716133,17.740880646791314,1.3740142867378724,0.0,-0.0,5.206964896499506,11.853748688941389,-1.5355247930326295
0,8,8,-58.46116264700905,-60.8992718282367,0.6839527525138034,0.01022717015156825,0.0,-0.0,18.214295442522964,0.9796832870557678,4.897567696442515,22.97620972647212,-10.580303573221357
0,9,9,-18.326545597925854,83.79569844222722,0.6934074073935675,0.010137048054581209,65.37248212750927,2.381979606854227,0.0,-0.0,8.774539399485159,17.56408395454941,4.8144608731434015
0,10,10,0.0,-17.07252598122011,0.7511303144060532,0.010048726953491498,26.306918058840104,0.964866820962179,0.0,0.0,3.9944912336132,15.742680110325729,0.3070277062118485
0,11,11,4.824375654602374,6.462360558127686,0.749703797833988,0.009962254748977745,35.59837966443003,1.5687719241108666,17.665653392633093,0.5710736114605881,-11.845871985159507,5.1651795476070905,6.894953319079692
0,12,12,-904.1719893379186,-924.0835888830478,0.7852332178374497,0.009877679998547668,25.470769469012104,1.4587983901827666,7.774122389478189,0.3276682672163095,3.0922692758270527,11.53460088023791,8.305589584034006
